19-Sep-19,GGRP,237,PT Gunung Raja Paksi Tbk.,Basic Industry and Chemicals
9-Apr-18,GHON,238,PT Gihon Telekomunikasi Indonesia Tbk,"Infrastructure, Utilities, and Transportation"
11-Feb-11,GIAA,239,Garuda Indonesia (Persero) Tbk,"Infrastructure, Utilities, and Transportation"
8-May-90,GJTL,240,Gajah Tunggal Tbk,Miscellaneous Industry
10-Jul-12,GLOB,241,Global Teleshop Tbk,"Trade, Service, and Investment"
10-Oct-17,GMFI,242,PT Garuda Maintenance Facility Aero Asia Tbk.,Miscellaneous Industry
11-Dec-00,GMTD,243,Gowa Makassar Tourism Development Tbk,"Property, Real Estate, and Building Construction"
7-Jul-10,GOLD,244,PT Visi Telekomunikasi Infrastruktur Tbk.,"Infrastructure, Utilities, and Transportation"
23-Dec-14,GOLL,245,PT Golden Plantation Tbk,Agriculture
10-Oct-18,GOOD,246,PT Garudafood Putra Putri Jaya Tbk.,Consumer Goods industry
10-Oct-07,GPRA,247,Perdana Gapura Prima Tbk,"Property, Real Estate, and Building Construction"
9-Jul-10,GREN,248,Evergreen Invesco Tbk,"Trade, Service, and Investment"
13-Oct-89,GSMF,249,Equity Development Investment Tbk,Finance
9-Jul-09,GTBO,250,Garda Tujuh Buana Tbk,Mining
23-Dec-11,GWSA,251,PT Greenwood Sejahtera Tbk,"Property, Real Estate, and Building Construction"
15-May-08,GZCO,252,Gozco Plantations Tbk,Agriculture
12-Apr-04,HADE,253,PT Himalaya Energi Perkasa Tbk,"Trade, Service, and Investment"
10-May-11,HDFA,254,Radana Bhaskara Finance Tbk,Finance
12-Jul-19,HDIT,255,PT Hensel Davest Indonesia Tbk,"Trade, Service, and Investment"
6-Jun-90,HDTX,256,Panasia Indo Resources Tbk,Miscellaneous Industry
16-May-18,HEAL,257,PT Medikaloka Hermina Tbk.,"Trade, Service, and Investment"
27-Mar-18,HELI,258,PT Jaya Trishindo Tbk,"Infrastructure, Utilities, and Transportation"
2-Dec-89,HERO,259,Hero Supermarket Tbk,"Trade, Service, and Investment"
13-Feb-95,HEXA,260,Hexindo Adiperkasa Tbk,"Trade, Service, and Investment"
15-Dec-97,HITS,261,Humpuss Intermoda Transportasi Tbk,"Infrastructure, Utilities, and Transportation"
9-Oct-18,HKMU,262,PT HK Metals Utama Tbk,"Trade, Service, and Investment"
15-Aug-90,HMSP,263,HM Sampoerna Tbk,Consumer Goods industry
22-Jun-17,HOKI,264,PT Buyung Poetra Sembada Tbk.,Consumer Goods industry
